symbol,date,period,eps,src
AQUA,2024-09-30,2024Q3,-0.0612,yahoo_income
AQUA,2024-06-30,2024Q2,-0.0157,yahoo_income
AQUA,2024-03-31,2024Q1,0.0147,yahoo_income
ARIN,2025-06-30,2025Q2,-0.02,yahoo_income
ARIN,2025-03-31,2025Q1,-0.02,yahoo_income
ARIN,2024-09-30,2024Q3,-0.02,yahoo_income
ARIN,2024-06-30,2024Q2,-0.02,yahoo_income
ARIN,2024-03-31,2024Q1,-0.01,yahoo_income
ARIP,2025-06-30,2025Q2,0.006,yahoo_income
ARIP,2025-03-31,2025Q1,0.004,yahoo_income
ARIP,2024-09-30,2024Q3,0.005,yahoo_income
ARIP,2024-06-30,2024Q2,0.004,yahoo_income
ARIP,2024-03-31,2024Q1,0.003,yahoo_income
ARROW,2025-06-30,2025Q2,0.13,yahoo_income
ARROW,2025-03-31,2025Q1,0.15,yahoo_income
ARROW,2024-09-30,2024Q3,0.17,yahoo_income
ARROW,2024-06-30,2024Q2,0.08,yahoo_income
ARROW,2024-03-31,2024Q1,0.11,yahoo_income
AS,2025-06-30,2025Q2,0.04,yahoo_income
AS,2025-03-31,2025Q1,0.08,yahoo_income
AS,2024-09-30,2024Q3,0.08,yahoo_income
AS,2024-06-30,2024Q2,0.1,yahoo_income
AS,2024-03-31,2024Q1,0.15,yahoo_income
ASAP,2025-06-30,2025Q2,0.011,yahoo_income
ASAP,2025-03-31,2025Q1,0.0161,yahoo_income
ASAP,2024-09-30,2024Q3,-0.0482,yahoo_income
ASAP,2024-06-30,2024Q2,0.0391,yahoo_income
ASAP,2024-03-31,2024Q1,0.0318,yahoo_income
ASEFA,2025-06-30,2025Q2,0.04,yahoo_income
ASEFA,2025-03-31,2025Q1,0.08,yahoo_income
ASEFA,2024-09-30,2024Q3,0.04,yahoo_income
ASEFA,2024-06-30,2024Q2,-0.03,yahoo_income
ASEFA,2024-03-31,2024Q1,0.02,yahoo_income
ASIA,2025-06-30,2025Q2,-0.05,yahoo_income
ASIA,2025-03-31,2025Q1,0.05,yahoo_income
ASIA,2024-09-30,2024Q3,-0.01,yahoo_income
ASIA,2024-06-30,2024Q2,-0.01,yahoo_income
ASIA,2024-03-31,2024Q1,0.01,yahoo_income
ASIAN,2025-06-30,2025Q2,0.2,yahoo_income
ASIAN,2025-03-31,2025Q1,0.25,yahoo_income
ASIAN,2024-09-30,2024Q3,0.29,yahoo_income
ASIAN,2024-06-30,2024Q2,0.31,yahoo_income
ASIAN,2024-03-31,2024Q1,0.3,yahoo_income
ASIMAR,2025-06-30,2025Q2,0.046,yahoo_income
ASIMAR,2025-03-31,2025Q1,0.025,yahoo_income
ASIMAR,2024-09-30,2024Q3,0.054,yahoo_income
ASIMAR,2024-06-30,2024Q2,0.045,yahoo_income
ASIMAR,2024-03-31,2024Q1,0.025,yahoo_income
ASK,2025-06-30,2025Q2,0.2,yahoo_income
ASK,2025-03-31,2025Q1,0.28,yahoo_income
ASK,2024-09-30,2024Q3,0.11,yahoo_income
ASK,2024-06-30,2024Q2,0.156132,yahoo_income
ASK,2024-03-31,2024Q1,0.33,yahoo_income
ASN,2025-06-30,2025Q2,-0.01,yahoo_income
ASN,2025-03-31,2025Q1,0.0,yahoo_income
ASN,2024-09-30,2024Q3,0.002927,yahoo_income
ASN,2024-06-30,2024Q2,-0.01,yahoo_income
ASN,2024-03-31,2024Q1,0.0,yahoo_income
ASP,2025-06-30,2025Q2,0.02,yahoo_income
ASP,2025-03-31,2025Q1,0.002,yahoo_income
ASP,2024-09-30,2024Q3,0.03,yahoo_income
ASP,2024-06-30,2024Q2,0.04,yahoo_income
ASP,2024-03-31,2024Q1,0.069,yahoo_income
ASW,2025-06-30,2025Q2,0.22,yahoo_income
ASW,2025-03-31,2025Q1,0.22,yahoo_income
ASW,2024-09-30,2024Q3,0.5,yahoo_income
ASW,2024-06-30,2024Q2,0.66,yahoo_income
ASW,2024-03-31,2024Q1,0.28,yahoo_income
ATP30,2025-06-30,2025Q2,0.023,yahoo_income
ATP30,2025-03-31,2025Q1,0.022,yahoo_income
ATP30,2024-09-30,2024Q3,0.018,yahoo_income
ATP30,2024-06-30,2024Q2,0.016,yahoo_income
ATP30,2024-03-31,2024Q1,0.015,yahoo_income
AU,2025-06-30,2025Q2,0.06,yahoo_income
AU,2025-03-31,2025Q1,0.08,yahoo_income
AU,2024-09-30,2024Q3,0.1,yahoo_income
AU,2024-06-30,2024Q2,0.09,yahoo_income
AU,2024-03-31,2024Q1,0.07,yahoo_income
AUCT,2025-06-30,2025Q2,0.08,yahoo_income
AUCT,2025-03-31,2025Q1,0.1,yahoo_income
AUCT,2024-09-30,2024Q3,0.17,yahoo_income
AUCT,2024-06-30,2024Q2,0.15,yahoo_income
AUCT,2024-03-31,2024Q1,0.22,yahoo_income
AURA,2025-06-30,2025Q2,0.27,yahoo_income
AURA,2025-03-31,2025Q1,0.3,yahoo_income
AURA,2024-09-30,2024Q3,0.15,yahoo_income
AURA,2024-06-30,2024Q2,0.26,yahoo_income
AURA,2024-03-31,2024Q1,0.21,yahoo_income
AWC,2025-06-30,2025Q2,0.0438,yahoo_income
AWC,2025-03-31,2025Q1,0.0615,yahoo_income
AWC,2024-09-30,2024Q3,0.0356,yahoo_income
AWC,2024-06-30,2024Q2,0.0389,yahoo_income
AWC,2024-03-31,2024Q1,0.0501,yahoo_income
AXTRART,2025-03-31,2025Q1,0.238154,yahoo_income
AXTRART,2024-12-31,2024Q4,0.161333,yahoo_income
AXTRART,2024-08-31,2024Q3,0.239503,yahoo_income
AXTRART,2024-05-31,2024Q2,0.239353,yahoo_income
AYUD,2025-06-30,2025Q2,2.02,yahoo_income
AYUD,2025-03-31,2025Q1,1.82,yahoo_income
AYUD,2024-09-30,2024Q3,0.06,yahoo_income
AYUD,2024-06-30,2024Q2,2.11,yahoo_income
AYUD,2024-03-31,2024Q1,1.39,yahoo_income
B,2025-06-30,2025Q2,0.0,yahoo_income
B,2025-03-31,2025Q1,0.0,yahoo_income
B,2024-09-30,2024Q3,0.005,yahoo_income
B,2024-06-30,2024Q2,0.0,yahoo_income
B,2024-03-31,2024Q1,0.0,yahoo_income
B-WORK,2025-06-30,2025Q2,0.11961,yahoo_income
B-WORK,2025-03-31,2025Q1,0.031499,yahoo_income
B-WORK,2024-09-30,2024Q3,0.220138,yahoo_income
B-WORK,2024-06-30,2024Q2,-0.768522,yahoo_income
B-WORK,2024-03-31,2024Q1,-0.016776,yahoo_income
B52,2025-06-30,2025Q2,-0.0163,yahoo_income
B52,2025-03-31,2025Q1,-0.017,yahoo_income
B52,2024-09-30,2024Q3,-0.035182,yahoo_income
B52,2024-06-30,2024Q2,-0.029244,yahoo_income
B52,2024-03-31,2024Q1,-0.02545,yahoo_income
BA,2025-06-30,2025Q2,0.19,yahoo_income
BA,2025-03-31,2025Q1,0.8,yahoo_income
BA,2024-09-30,2024Q3,0.32,yahoo_income
BA,2024-06-30,2024Q2,0.34,yahoo_income
BA,2024-03-31,2024Q1,0.89,yahoo_income
BAFS,2025-06-30,2025Q2,0.07,yahoo_income
BAFS,2025-03-31,2025Q1,0.2,yahoo_income
BAFS,2024-09-30,2024Q3,0.02,yahoo_income
BAFS,2024-06-30,2024Q2,0.05,yahoo_income
BAFS,2024-03-31,2024Q1,0.11,yahoo_income
BAM,2025-06-30,2025Q2,0.4,yahoo_income
BAM,2025-03-31,2025Q1,0.07,yahoo_income
BAM,2024-09-30,2024Q3,0.06,yahoo_income
BAM,2024-06-30,2024Q2,0.14,yahoo_income
BAM,2024-03-31,2024Q1,0.13,yahoo_income
BANPU,2025-06-30,2025Q2,-0.003,yahoo_income
BANPU,2025-03-31,2025Q1,-0.001,yahoo_income
BANPU,2024-09-30,2024Q3,-0.002,yahoo_income
BANPU,2024-06-30,2024Q2,0.003,yahoo_income
BANPU,2024-03-31,2024Q1,0.004,yahoo_income
BAREIT,2025-06-30,2025Q2,0.211613,yahoo_income
BAREIT,2025-03-31,2025Q1,0.215093,yahoo_income
BAREIT,2024-09-30,2024Q3,0.207573,yahoo_income
BAREIT,2024-06-30,2024Q2,0.199641,yahoo_income
BAREIT,2024-03-31,2024Q1,0.199001,yahoo_income
BAY,2025-06-30,2025Q2,1.13,yahoo_income
BAY,2025-03-31,2025Q1,1.02,yahoo_income
BAY,2024-09-30,2024Q3,1.04,yahoo_income
BAY,2024-06-30,2024Q2,1.12,yahoo_income
BAY,2024-03-31,2024Q1,1.03,yahoo_income
BBGI,2025-06-30,2025Q2,-0.03,yahoo_income
BBGI,2025-03-31,2025Q1,0.09,yahoo_income
BBGI,2024-09-30,2024Q3,-0.009,yahoo_income
BBGI,2024-06-30,2024Q2,0.03,yahoo_income
BBGI,2024-03-31,2024Q1,0.08,yahoo_income
BBIK,2025-06-30,2025Q2,0.37,yahoo_income
BBIK,2025-03-31,2025Q1,0.36,yahoo_income
BBIK,2024-09-30,2024Q3,0.44,yahoo_income
BBIK,2024-06-30,2024Q2,0.21,yahoo_income
BBIK,2024-03-31,2024Q1,0.34,yahoo_income
BBL,2025-06-30,2025Q2,6.2,yahoo_income
BBL,2025-03-31,2025Q1,6.61,yahoo_income
BBL,2024-09-30,2024Q3,6.54,yahoo_income
BBL,2024-06-30,2024Q2,6.19,yahoo_income
BBL,2024-03-31,2024Q1,5.51,yahoo_income
BC,2025-06-30,2025Q2,-0.0972,yahoo_income
BC,2025-03-31,2025Q1,0.075,yahoo_income
BC,2024-09-30,2024Q3,0.0953,yahoo_income
BC,2024-06-30,2024Q2,0.0645,yahoo_income
BC,2024-03-31,2024Q1,-0.0441,yahoo_income
BCH,2025-06-30,2025Q2,0.16,yahoo_income
BCH,2025-03-31,2025Q1,0.13,yahoo_income
BCH,2024-09-30,2024Q3,0.18,yahoo_income
BCH,2024-06-30,2024Q2,0.11,yahoo_income
BCH,2024-03-31,2024Q1,0.13,yahoo_income
BCP,2025-09-30,2025Q3,0.8,yahoo_income
BCP,2025-06-30,2025Q2,-1.86,yahoo_income
BCP,2025-03-31,2025Q1,1.54,yahoo_income
BCP,2024-09-30,2024Q3,-1.61,yahoo_income
BCP,2024-06-30,2024Q2,1.23,yahoo_income
BCPG,2025-06-30,2025Q2,-0.22,yahoo_income
BCPG,2025-03-31,2025Q1,0.05,yahoo_income
BCPG,2024-09-30,2024Q3,-0.01,yahoo_income
BCPG,2024-06-30,2024Q2,0.42,yahoo_income
BCPG,2024-03-31,2024Q1,0.15,yahoo_income
BCT,2025-06-30,2025Q2,0.53,yahoo_income
BCT,2024-12-31,2024Q4,5.2,yahoo_income
BCT,2024-09-30,2024Q3,-3.5,yahoo_income
BCT,2024-06-30,2024Q2,3.94,yahoo_income
BDMS,2025-06-30,2025Q2,0.22,yahoo_income
BDMS,2025-03-31,2025Q1,0.27,yahoo_income
BDMS,2024-09-30,2024Q3,0.27,yahoo_income
BDMS,2024-06-30,2024Q2,0.21,yahoo_income
BDMS,2024-03-31,2024Q1,0.26,yahoo_income
BE8,2025-06-30,2025Q2,0.02,yahoo_income
BE8,2025-03-31,2025Q1,0.08,yahoo_income
BE8,2024-09-30,2024Q3,0.17,yahoo_income
BE8,2024-06-30,2024Q2,0.13,yahoo_income
BE8,2024-03-31,2024Q1,0.12,yahoo_income
BEAUTY,2025-06-30,2025Q2,-0.009,yahoo_income
BEAUTY,2025-03-31,2025Q1,-0.005,yahoo_income
BEAUTY,2024-09-30,2024Q3,-0.005,yahoo_income
BEAUTY,2024-06-30,2024Q2,-0.01,yahoo_income
BEAUTY,2024-03-31,2024Q1,-0.001,yahoo_income
BEC,2025-06-30,2025Q2,0.01,yahoo_income
BEC,2025-03-31,2025Q1,0.022,yahoo_income
BEC,2024-09-30,2024Q3,0.023,yahoo_income
BEC,2024-06-30,2024Q2,0.036,yahoo_income
BEC,2024-03-31,2024Q1,0.007,yahoo_income
BEM,2025-06-30,2025Q2,0.07,yahoo_income
