symbol,period,eps
BAY,2024Q3,1.04
BBGI,2025Q4,
BBGI,2025Q3,
BBGI,2025Q2,-0.03
BBGI,2025Q1,0.09
BBGI,2024Q4,0.05
BBGI,2024Q3,-0.01
BBIK,2025Q4,
BBIK,2025Q3,
BBIK,2025Q2,0.37
BBIK,2025Q1,0.36
BBIK,2024Q4,0.52
BBIK,2024Q3,0.44
BBL,2025Q4,
BBL,2025Q3,
BBL,2025Q2,6.2
BBL,2025Q1,6.61
BBL,2024Q4,5.46
BBL,2024Q3,6.54
BC,2025Q4,
BC,2025Q3,
BC,2025Q2,-0.1
BC,2025Q1,0.08
BC,2024Q4,-0.06
BC,2024Q3,0.1
BCH,2025Q4,
BCH,2025Q3,
BCH,2025Q2,0.16
BCH,2025Q1,0.13
BCH,2024Q4,0.09
BCH,2024Q3,0.18
BCP,2025Q4,
BCP,2025Q3,
BCP,2025Q2,-1.86
BCP,2025Q1,1.54
BCP,2024Q4,0.0
BCP,2024Q3,-1.61
BCPG,2025Q4,
BCPG,2025Q3,
BCPG,2025Q2,-0.22
BCPG,2025Q1,0.05
BCPG,2024Q4,0.06
BCPG,2024Q3,-0.01
BCT,2025Q4,2.56
BCT,2025Q3,5.2
BCT,2025Q2,-3.5
BCT,2025Q1,3.94
BCT,2024Q4,6.19
BCT,2024Q3,0.88
BDMS,2025Q4,
BDMS,2025Q3,
BDMS,2025Q2,0.22
BDMS,2025Q1,0.27
BDMS,2024Q4,0.28
BDMS,2024Q3,0.27
BE8,2025Q4,
BE8,2025Q3,
BE8,2025Q2,0.02
BE8,2025Q1,0.08
BE8,2024Q4,0.16
BE8,2024Q3,0.17
BEAUTY,2025Q4,
BEAUTY,2025Q3,
BEAUTY,2025Q2,-0.01
BEAUTY,2025Q1,-0.01
BEAUTY,2024Q4,-0.02
BEAUTY,2024Q3,0.0
BEC,2025Q4,
BEC,2025Q3,
BEC,2025Q2,0.01
BEC,2025Q1,0.02
BEC,2024Q4,-0.02
BEC,2024Q3,0.02
BEM,2025Q4,
BEM,2025Q3,
BEM,2025Q2,0.07
BEM,2025Q1,0.06
BEM,2024Q4,0.06
BEM,2024Q3,0.07
BEYOND,2025Q4,
BEYOND,2025Q3,
BEYOND,2025Q2,-0.3
BEYOND,2025Q1,0.19
BEYOND,2024Q4,0.12
BEYOND,2024Q3,-0.23
BGC,2025Q4,
BGC,2025Q3,
BGC,2025Q2,0.08
BGC,2025Q1,0.12
BGC,2024Q4,0.04
BGC,2024Q3,0.08
BGRIM,2025Q4,
BGRIM,2025Q3,
BGRIM,2025Q2,-0.08
BGRIM,2025Q1,0.16
BGRIM,2024Q4,0.21
BGRIM,2024Q3,-0.02
BGT,2025Q4,
BGT,2025Q3,
BGT,2025Q2,-0.02
BGT,2025Q1,-0.01
BGT,2024Q4,0.02
BGT,2024Q3,-0.01
BH,2025Q4,
BH,2025Q3,
BH,2025Q2,2.34
BH,2025Q1,2.18
BH,2024Q4,2.39
BH,2024Q3,2.46
BIG,2025Q4,
BIG,2025Q3,
BIG,2025Q2,0.0
BIG,2025Q1,0.01
BIG,2024Q4,0.01
BIG,2024Q3,0.0
BIOTEC,2025Q4,
BIOTEC,2025Q3,
BIOTEC,2025Q2,-0.01
