symbol,sector,last_price,eps_ttm,g_base,fcf_ttm,fcf_mode,terminal_method,exit_multiple_used,shares,equity_last,roe_ttm,ebitda_ttm,net_debt,minority_interest,model,coe,wacc,terminal_pe_used,intrinsic,intrinsic_s_bull,intrinsic_s_base,intrinsic_s_bear,upside_pct,flags
AP,Real Estate,7.150000095367432,1.247,0.3,1159261343.0,fcff,exit,8.0,3145899495.0,,,6134913758.0,29892689000.0,3633000.0,fcf_dcf,0.08,0.08,,3.776883316751861,5.242247930019741,3.776883316751861,2.3115187034839817,-47.176457812931396,
APCO,Consumer Defensive,2.5399999618530273,0.09000000000000001,-0.3,54508860.0,fcff,exit,8.0,600000000.0,,,97227358.0,-118407258.0,3563947.0,fcf_dcf,0.08,0.08,,1.5494315752180003,1.6711956899502265,1.5494315752180001,1.427667460485774,-38.99875596503432,
APCS,Industrials,1.409999966621399,-0.40340000000000004,0.3,211831126.0,fcff,exit,8.0,659999862.0,,,-354644368.0,472042540.0,7096169.0,fcf_dcf,0.08,0.08,,-2.5997847022029066,-3.0035521511984085,-2.5997847022029066,-2.1960172532074056,-284.3818981380855,pe<0
APO,Consumer Defensive,2.0,0.4851,0.3,129938365.0,fcff,exit,8.0,340000000.0,,,201303326.0,-62387662.0,,fcf_dcf,0.1,0.09120000000000002,,5.131485251530622,5.554008982176824,5.131485251530622,4.7089615208844195,156.57426257653108,
APP,Technology,2.5199999809265137,0.4,0.08416578473393965,160191341.0,fcff,exit,8.0,280000000.0,,,149643239.0,-246611000.0,1134000.0,fcf_dcf,0.1,0.09340000000000001,,6.230820673688361,6.608396846051219,6.230820673688361,5.853244501325503,147.2547905098599,
APURE,Consumer Defensive,2.0,-0.24789999999999998,0.3,90545144.0,fcff,exit,8.0,929688395.0,,,-192140634.0,7510000.0,16430000.0,fcf_dcf,0.08,0.08,,-0.8565578141429526,-1.0118551090608139,-0.8565578141429527,-0.7012605192250911,-142.82789070714762,pe<0
AQUA,Communication Services,0.10000000149011612,-0.09230000000000001,-0.3,157987936.0,fcff,exit,8.0,5712457187.0,,,-554656436.0,1846573869.0,923398971.0,fcf_dcf,0.08,0.08,,-0.9517041499500671,-1.0246638735263391,-0.9517041499500671,-0.8787444263737952,-1051.7041357685705,pe<0
ARIN,Real Estate,0.5,-0.07,-0.20438004877305227,-3669000.0,fcff,exit,8.0,600000000.0,,,-13779000.0,401280000.0,,fcf_dcf,0.1,0.08460000000000001,,-0.8294745922151023,-0.8463680794533113,-0.8294745922151024,-0.8125811049768935,-265.89491844302046,pe<0
ARIP,Industrials,0.46000000834465027,0.022208000000000002,-0.3,33438364.0,fcff,exit,8.0,466000000.0,,,23477383.0,-72150000.0,,fcf_dcf,0.1,0.08900000000000001,,0.7414518005335421,0.7777700768286826,0.7414518005335421,0.7051335242384015,61.18517110504419,
ARROW,Industrials,5.550000190734863,0.61,-0.0253955292543665,33294912.360000014,fcff,exit,8.0,256896904.0,,,225782643.77,-24139789.090000004,-26410140.48,fcf_dcf,0.08,0.08,,6.027744445631201,6.688154634582812,6.0277444456312,5.367334256679588,8.608004296898596,
