symbol,model,intrinsic_value,last_price,sector,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
PFE,fcf_dcf,36.77644362272598,24.76000022888184,Healthcare,28.80864,28.5,36.0,24.0,22,2.45833,1970-01-01,20387,yfinance.info/recommendations
PG,fcf_dcf,101.0778336616588,152.49000549316406,Consumer Defensive,168.72726,171.0,186.0,147.0,22,2.0,1970-01-01,20387,yfinance.info/recommendations
PM,fcf_dcf,97.2735036290684,157.6199951171875,Consumer Defensive,188.93333,188.0,220.0,158.0,15,1.72222,1970-01-01,20387,yfinance.info/recommendations
QCOM,fcf_dcf,145.49962323658983,168.94000244140625,Technology,179.28078,172.5,225.0,140.0,26,2.30556,1970-01-01,20387,yfinance.info/recommendations
RGLD,fcf_dcf,68.97598160201255,182.47000122070312,Basic Materials,247.90909,250.0,280.0,203.0,11,1.81818,1970-01-01,20387,yfinance.info/recommendations
TMO,fcf_dcf,275.2391785643978,572.5,Healthcare,608.3709,617.5,675.0,533.16,22,1.65385,1970-01-01,20387,yfinance.info/recommendations
TSLA,fcf_dcf,16.42907770573491,433.7200012207031,Consumer Cyclical,390.533,415.0,600.0,120.0,40,2.52174,1970-01-01,20387,yfinance.info/recommendations
TXN,fcf_dcf,25.83489832190816,169.1300048828125,Technology,190.83,195.0,245.0,125.0,33,2.5,1970-01-01,20387,yfinance.info/recommendations
UNH,fcf_dcf,470.0258274607477,362.5,Healthcare,368.56,395.0,440.0,198.0,25,1.92593,1970-01-01,20387,yfinance.info/recommendations
UPS,fcf_dcf,66.93509634065079,87.22000122070312,Industrials,99.13333,100.0,120.0,75.0,30,2.25806,1970-01-01,20387,yfinance.info/recommendations
V,fcf_dcf,191.65341104059505,347.3800048828125,Financial Services,392.5935,400.0,450.0,305.0,37,1.625,1970-01-01,20387,yfinance.info/recommendations
WFC,fcf_dcf,,86.41000366210938,Financial Services,92.89583,93.5,100.0,79.0,24,2.03846,1970-01-01,20387,yfinance.info/recommendations
WMT,fcf_dcf,29.057269658621877,106.16999816894533,Consumer Defensive,113.35,115.0,129.0,60.0,40,1.34884,1970-01-01,20387,yfinance.info/recommendations
WPM,fcf_dcf,28.028371311194373,98.1500015258789,Basic Materials,128.831,127.5,160.0,108.31,10,1.6875,1970-01-01,20387,yfinance.info/recommendations
XOM,fcf_dcf,115.0711963401381,115.38999938964844,Energy,126.51077,125.0,156.0,105.0,26,2.25,1970-01-01,20387,yfinance.info/recommendations
