symbol,sector,last_price
KBANK,Financial Services,232.0
KBS,Consumer Defensive,5.949999809265137
KC,Real Estate,0.029999999329447746
KCAR,Industrials,4.880000114440918
KCC,Financial Services,3.059999942779541
KCE,Technology,42.5
KCG,Consumer Defensive,10.399999618530273
KCM,Industrials,0.28999999165534973
KDH,Healthcare,83.25
KGEN,Industrials,1.8899999856948853
KGI,Financial Services,4.579999923706055
KIAT,Industrials,0.3400000035762787
KISS,Consumer Defensive,3.5799999237060547
KJL,Industrials,6.25
KK,Consumer Defensive,1.0099999904632568
KKC,Industrials,0.03999999910593033
KKP,Financial Services,104.0
KLINIQ,Consumer Cyclical,26.75
KOOL,Consumer Cyclical,0.28999999165534973
KPNREIT,Real Estate,1.9800000190734863
KSL,Consumer Defensive,1.5499999523162842
KTB,Financial Services,40.75
KTBSTMR,Real Estate,6.550000190734863
KTC,Financial Services,37.0
KTIS,Consumer Defensive,1.8200000524520874
KTMS,Healthcare,1.3200000524520874
KUMWEL,Industrials,2.5
KUN,Real Estate,0.6499999761581421
KWC,Real Estate,282.0
KWM,Industrials,0.8600000143051147
KYE,Consumer Cyclical,315.0
LALIN,Real Estate,4.320000171661377
LANNA,Energy,14.600000381469727
LDC,Healthcare,0.23999999463558197
LEE,Consumer Defensive,2.4800000190734863
LEO,Industrials,1.899999976158142
LH,Real Estate,3.7799999713897705
LHFG,Financial Services,1.2899999618530273
LHHOTEL,Real Estate,14.100000381469727
LHK,Basic Materials,3.5199999809265137
LHRREIT,Real Estate,4.360000133514404
LHSC,Real Estate,15.100000381469727
LIT,Financial Services,0.8899999856948853
LOXLEY,Industrials,1.4199999570846558
LPH,Healthcare,3.559999942779541
LPN,Real Estate,1.5700000524520874
LRH,Consumer Cyclical,33.75
LST,Consumer Defensive,4.78000020980835
LTMH,Communication Services,7.400000095367432
LTS,Consumer Cyclical,2.5199999809265137
M,Consumer Cyclical,21.799999237060547
M-CHAI,Healthcare,19.700000762939453
MADAME,Consumer Defensive,0.5
MAGURO,Consumer Cyclical,18.5
MAJOR,Communication Services,6.75
MALEE,Consumer Defensive,4.059999942779541
MANRIN,Consumer Cyclical,20.899999618530273
MASTEC,Industrials,2.0399999618530273
MASTER,Healthcare,8.800000190734863
MATCH,Communication Services,0.8899999856948853
MATI,Communication Services,2.940000057220459
MBAX,Consumer Cyclical,1.9299999475479126
MBK,Industrials,20.299999237060547
MC,Consumer Cyclical,11.699999809265137
MCA,Communication Services,1.2999999523162842
MCOT,Communication Services,6.150000095367432
MCS,Basic Materials,7.849999904632568
MDX,Real Estate,3.680000066757202
MEB,Technology,12.699999809265137
MEDEZE,Healthcare,6.599999904632568
MEGA,Healthcare,37.0
MENA,Industrials,0.7400000095367432
META,Utilities,0.019999999552965164
METCO,Technology,295.0
MFC,Financial Services,19.799999237060547
MFEC,Technology,5.849999904632568
MGC,Consumer Cyclical,7.5
MGI,Unknown,6.5
MGT,Basic Materials,1.8300000429153442
MICRO,Financial Services,1.1299999952316284
MIDA,Financial Services,0.5
MII,Real Estate,6.050000190734863
MILL,Basic Materials,0.009999999776482582
MINT,Consumer Cyclical,23.5
MIPF,Real Estate,9.300000190734863
MITSIB,Consumer Cyclical,0.5699999928474426
MJD,Real Estate,0.3100000023841858
MK,Real Estate,0.6100000143051147
ML,Financial Services,1.6200000047683716
MMM,Unknown,2.799999952316284
MNIT,Real Estate,1.9600000381469727
MODERN,Consumer Cyclical,2.0199999809265137
MONO,Communication Services,0.75
MOONG,Consumer Defensive,2.319999933242798
MORE,Utilities,0.05000000074505806
MOSHI,Consumer Cyclical,39.0
MOTHER,Consumer Cyclical,1.149999976158142
MPJ,Industrials,3.7200000286102295
MRDIYT,Consumer Cyclical,10.100000381469727
MSC,Technology,6.199999809265137
MST,Financial Services,7.849999904632568
MTC,Financial Services,32.5
MTI,Financial Services,19.100000381469727
MTW,Consumer Cyclical,0.7900000214576721
MUD,Consumer Cyclical,0.949999988079071
MVP,Communication Services,0.05999999865889549
NAM,Healthcare,3.440000057220459
NAT,Technology,1.7599999904632568
NATION,Communication Services,0.029999999329447746
NC,Consumer Cyclical,1.9700000286102295
NCAP,Financial Services,3.119999885559082
NCH,Real Estate,0.41999998688697815
NCL,Industrials,0.1899999976158142
NCP,Industrials,1.059999942779541
NDR,Consumer Cyclical,1.7999999523162842
NEO,Consumer Defensive,20.399999618530273
NEP,Consumer Cyclical,0.1899999976158142
NER,Basic Materials,4.460000038146973
NETBAY,Technology,14.100000381469727
NEW,Healthcare,105.0
NEX,Industrials,1.0099999904632568
NFC,Basic Materials,1.2300000190734863
NKI,Financial Services,15.0
NKT,Healthcare,3.700000047683716
NL,Industrials,0.699999988079071
NNCL,Utilities,1.7000000476837158
NOBLE,Real Estate,1.8300000429153442
NOVA,Technology,7.0
NPK,Consumer Cyclical,12.899999618530273
NRF,Consumer Defensive,0.25
NSL,Consumer Defensive,22.799999237060547
NTF,Consumer Defensive,14.699999809265137
NTSC,Basic Materials,6.25
