symbol,model,intrinsic_value,last_price,sector,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
BKGI,eps_dcf,2.633632320914717,1.5800000429153442,Healthcare,1.7,1.7,1.7,1.7,1.0,,1970-01-01,20387.0,yfinance.info/recommendations
BKIH,eps_dcf,637.4227869477711,305.0,Financial Services,,,,,,,,,yfinance.info/recommendations
BLA,eps_dcf,10.237336012199687,18.600000381469727,Financial Services,28.0,28.0,28.0,28.0,1.0,2.0,1970-01-01,20387.0,yfinance.info/recommendations
BLAND,eps_dcf,0.1293843536485435,0.4900000095367431,Real Estate,,,,,,,,,yfinance.info/recommendations
BLC,eps_dcf,2.028338552244674,4.159999847412109,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
BLESS,eps_dcf,0.0949344654418517,0.2599999904632568,Real Estate,,,,,,,,,yfinance.info/recommendations
BLISS,eps_dcf,,0.0309100002050399,Unknown,,,,,,,,,yfinance.info/recommendations
BM,eps_dcf,0.5419766124105718,1.3200000524520874,Industrials,,,,,,,,,yfinance.info/recommendations
BOFFICE,eps_dcf,23.525161126354675,5.0,Real Estate,5.3,5.3,5.3,5.3,1.0,3.0,1970-01-01,20387.0,yfinance.info/recommendations
BOL,eps_dcf,3.7413081781615256,5.75,Industrials,,,,,,,,,yfinance.info/recommendations
BPP,eps_dcf,4.601487709289756,10.399999618530272,Utilities,9.5,9.5,10.0,9.0,2.0,,1970-01-01,20387.0,yfinance.info/recommendations
BPS,eps_dcf,0.3511509761219623,0.4699999988079071,Technology,,,,,,,,,yfinance.info/recommendations
BR,eps_dcf,6.146095059515389,1.690000057220459,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
BRI,eps_dcf,21.156750301024125,1.9299999475479128,Real Estate,,,,,,,,,yfinance.info/recommendations
BROCK,eps_dcf,,1.3600000143051147,Real Estate,,,,,,,,,yfinance.info/recommendations
BRR,eps_dcf,62.87928022427282,4.019999980926514,Consumer Defensive,,,,,,,,,yfinance.info/recommendations
BSBM,eps_dcf,,0.6700000166893005,Basic Materials,,,,,,,,,yfinance.info/recommendations
BSM,eps_dcf,,0.4300000071525574,Industrials,,,,,,,,,yfinance.info/recommendations
BSRC,eps_dcf,,4.539999961853027,Energy,6.06667,6.05,7.4,4.7,6.0,,1970-01-01,20387.0,yfinance.info/recommendations
BTC,eps_dcf,,0.3300000131130218,Financial Services,,,,,,,,,yfinance.info/recommendations
BTG,eps_dcf,11.15834202021765,16.299999237060547,Consumer Defensive,19.1,19.2,22.6,16.6,6.0,3.5,1970-01-01,20387.0,yfinance.info/recommendations
BTNC,eps_dcf,44.9137715887663,12.800000190734863,Consumer Cyclical,,,,,,,,,yfinance.info/recommendations
BTS,eps_dcf,0.4534183424088444,2.900000095367432,Industrials,5.13167,5.25,6.49,3.5,6.0,2.42857,1970-01-01,20387.0,yfinance.info/recommendations
BTW,eps_dcf,,0.1299999952316284,Industrials,,,,,,,,,yfinance.info/recommendations
BUI,eps_dcf,67.65718337047257,13.399999618530272,Financial Services,,,,,,,,,yfinance.info/recommendations
BVG,eps_dcf,0.3702708617034858,1.75,Technology,,,,,,,,,yfinance.info/recommendations
BWG,eps_dcf,0.9188343085059848,0.3000000119209289,Industrials,,,,,,,,,yfinance.info/recommendations
BYD,eps_dcf,,0.6100000143051147,Financial Services,,,,,,,,,yfinance.info/recommendations
CAZ,eps_dcf,19.38383826462546,2.0199999809265137,Industrials,,,,,,,,,yfinance.info/recommendations
CBG,eps_dcf,16.254299981958177,45.25,Consumer Defensive,58.75357,58.0,72.3,47.5,14.0,1.92857,1970-01-01,20387.0,yfinance.info/recommendations
CCET,eps_dcf,4.814774019423963,6.099999904632568,Technology,7.55,7.55,7.9,7.2,2.0,,1970-01-01,20387.0,yfinance.info/recommendations
CCP,eps_dcf,0.1144172848422317,0.2800000011920929,Basic Materials,,,,,,,,,yfinance.info/recommendations
