symbol,sector,last_price,intrinsic_value,margin_%,dividend_ttm,dividend_yield_%,total_return_with_div_%,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,source
ABOS,Healthcare,1.7300000190734863,-19.5106477271474,-1227.783093181494,,,,6.75,6.5,10.0,4.0,4.0,1.0,1970-01-01,yfinance.info/recommendations
ABT,Healthcare,130.58999633789062,54.22601641257216,-58.47613298627644,2.36,1.807182836496678,-56.66895014977976,144.46616,145.0,162.0,122.0,26.0,1.75862,1970-01-01,yfinance.info/recommendations
ACET,Healthcare,0.6620000004768372,-6.027694428638188,-1010.5278586550533,,,,7.16667,8.0,9.0,5.0,6.0,1.28571,1970-01-01,yfinance.info/recommendations
ACGL,Financial Services,92.5199966430664,37.86751625273863,-59.070992621381066,5.0,5.404237117830362,-53.66675550355072,107.47059,106.0,125.0,84.0,17.0,2.22222,1970-01-01,yfinance.info/recommendations
ACHC,Healthcare,16.020000457763672,-13.55960420051577,-184.6417216795051,,,,26.03571,25.0,35.0,17.0,14.0,1.85714,1970-01-01,yfinance.info/recommendations
ACHR,Industrials,7.880000114440918,-5.459066576999845,-169.27749362586354,,,,11.5625,12.5,18.0,4.5,8.0,1.85714,1970-01-01,yfinance.info/recommendations
ACI,Consumer Defensive,18.209999084472656,24.57129734080501,34.93299602500541,0.6,3.294893081634526,38.227889106639935,23.6875,24.0,29.0,19.0,16.0,2.0,1970-01-01,yfinance.info/recommendations
ACIU,Healthcare,3.289999961853028,-4.897268605862083,-248.85315084027516,,,,9.852385,9.172914,12.230552,8.153701,3.0,1.0,1970-01-01,yfinance.info/recommendations
ACMR,Technology,31.51000022888184,18.913117776015795,-39.97741149274837,,,,40.8125,40.0,48.5,35.0,8.0,1.44444,1970-01-01,yfinance.info/recommendations
ACN,Technology,245.2100067138672,177.0613192669694,-27.791968345900226,4.44,1.810692825917576,-25.98127551998265,277.6008,285.0,330.0,205.0,25.0,2.07692,1970-01-01,yfinance.info/recommendations
ACNB,Financial Services,47.31999969482422,11.333009613137898,-76.05027538836295,1.32,2.789518192123698,-73.26075719623925,51.66667,52.0,52.0,51.0,3.0,,1970-01-01,yfinance.info/recommendations
ACNT,Basic Materials,13.789999961853027,8.178710084061734,-40.69100720314489,0.98,7.106599004430401,-90.32463318565794,,,,,,,,yfinance.info/recommendations
ACOG,Healthcare,5.940000057220459,,,,,,20.0,20.0,20.0,20.0,1.0,,1970-01-01,yfinance.info/recommendations
ACON,Healthcare,6.159999847412109,-93.2948790235898,-1614.5272943924522,,,,22.0,22.0,22.0,22.0,1.0,,1970-01-01,yfinance.info/recommendations
ACRE,Real Estate,4.929999828338623,,,0.7000000000000001,14.198783455858566,,4.5625,4.625,5.0,4.0,4.0,3.42857,1970-01-01,yfinance.info/recommendations
ACRS,Healthcare,2.5199999809265137,-6.501863912076065,-358.0104746542721,,,,7.85714,7.0,16.0,2.0,7.0,1.57143,1970-01-01,yfinance.info/recommendations
ACT,Financial Services,37.70000076293945,66.50256397143411,76.3993703597181,0.7899999999999999,2.095490673773673,78.49486103349177,40.6,41.0,42.0,39.0,5.0,2.6,1970-01-01,yfinance.info/recommendations
ACTG,Industrials,3.670000076293945,7.13384155918443,94.38259975156066,0.5,13.623977918412256,-81.54995842160245,5.0,5.0,5.0,5.0,1.0,1.0,1970-01-01,yfinance.info/recommendations
ACTU,Healthcare,5.909999847412109,,,,,,26.75,26.0,35.0,20.0,4.0,1.25,1970-01-01,yfinance.info/recommendations
ACVA,Consumer Cyclical,6.239999771118164,0.6387836066641916,-89.7630828510475,,,,12.53571,11.0,27.5,5.0,14.0,2.0,1970-01-01,yfinance.info/recommendations
ACXP,Healthcare,4.590000152587891,,,,,,61.7,30.5,165.8,20.0,4.0,1.5,1970-01-01,yfinance.info/recommendations
ADBE,Technology,331.1099853515625,201.56894384466767,-39.123266357960205,0.026,0.0078523756909336,-61.70562495836304,452.75342,460.0,605.0,280.0,35.0,2.025,1970-01-01,yfinance.info/recommendations
ADGM,Healthcare,0.7850000262260437,-11.198854204104274,-1526.6055834346587,,,,,,,,,,,yfinance.info/recommendations
ADI,Technology,234.88999938964844,71.51655842112648,-69.55317016179524,3.890000000000001,1.656094346335731,-91.66846662626456,269.9091,280.0,310.0,155.0,33.0,1.75,1970-01-01,yfinance.info/recommendations
ADMA,Healthcare,15.5600004196167,4.934610172463673,-68.28656787025183,,,,27.25,30.0,32.0,17.0,4.0,1.0,1970-01-01,yfinance.info/recommendations
ADP,Technology,253.08999633789065,120.61326655430024,-52.34372424847874,6.16,2.433916823711998,-48.096642109279166,293.23077,300.0,332.0,245.0,13.0,2.875,1970-01-01,yfinance.info/recommendations
ADSK,Technology,299.3900146484375,69.81407370373282,-76.68122840178458,0.06,0.0200407485434862,-71.78980352017366,360.25,370.0,430.0,246.0,28.0,1.63333,1970-01-01,yfinance.info/recommendations
ADT,Industrials,8.260000228881836,16.846446921794342,103.95213625889768,0.22,2.663438182855615,106.6155744417533,9.58,9.5,10.4,9.0,5.0,2.2,1970-01-01,yfinance.info/recommendations
ADVM,Healthcare,4.289999961853027,-76.16321609082357,-1875.3663582301187,,,,9.9,5.0,30.0,4.0,5.0,2.16667,1970-01-01,yfinance.info/recommendations
AEE,Utilities,105.0199966430664,18.4201201603593,-82.4603687400942,2.8,2.6661589121131057,-79.79420982798109,112.57143,112.5,125.0,98.0,14.0,1.93333,1970-01-01,yfinance.info/recommendations
AEHR,Technology,20.34000015258789,-2.188589466876452,-110.76002679674511,,,,24.0,24.0,24.0,24.0,2.0,,1970-01-01,yfinance.info/recommendations
AEM,Basic Materials,168.11000061035156,113.35740527109512,-32.569505169512794,1.6,0.9517577741900728,-31.61774739532272,194.18616,195.0,255.0,70.0,13.0,1.7,1970-01-01,yfinance.info/recommendations
AENT,Communication Services,6.380000114440918,6.300516462343575,-1.2458252456365069,,,,10.46,10.38,11.0,10.0,3.0,,1970-01-01,yfinance.info/recommendations
AEP,Utilities,121.3000030517578,26.213247920511307,-78.38973844928402,3.74,3.0832645555698543,-75.30647389371418,127.32353,128.0,139.0,108.5,17.0,2.45455,1970-01-01,yfinance.info/recommendations
AES,Utilities,13.81999969482422,71.24222378710094,415.50090709323337,0.704,5.09406668267625,420.5949737759097,15.20833,15.5,24.0,8.5,12.0,2.57143,1970-01-01,yfinance.info/recommendations
AESI,Energy,8.9399995803833,4.972935559023236,-44.37431999510203,0.75,8.389262138733164,-35.98505785636886,13.04545,12.5,20.0,7.0,11.0,2.5,1970-01-01,yfinance.info/recommendations
AFBI,Financial Services,19.36000061035156,4.0736804200794605,-78.9582629563487,1.5,7.747933640032882,-71.21032931631584,,,,,,,,yfinance.info/recommendations
AFL,Financial Services,114.33999633789062,27.13425392852928,-76.26879937240528,2.24,1.9590695047605984,-74.30972986764469,111.0,111.0,127.0,100.0,13.0,2.92308,1970-01-01,yfinance.info/recommendations
AGCO,Industrials,104.43000030517578,52.31500645632829,-49.9042360399807,1.16,1.11079191478515,-83.14360852093469,119.35714,117.0,145.0,97.0,14.0,2.625,1970-01-01,yfinance.info/recommendations
AGEN,Healthcare,4.340000152587891,-6.2342939664082895,-243.64732136451318,,,,12.33333,8.0,23.0,6.0,3.0,2.0,1970-01-01,yfinance.info/recommendations
AGH,Consumer Cyclical,4.71999979019165,0.037004600372348,-99.21600419455008,,,,,,,,,,,yfinance.info/recommendations
AGIO,Healthcare,43.650001525878906,-78.30802502276457,-279.39982195954303,,,,47.33333,47.0,57.0,37.0,6.0,2.0,1970-01-01,yfinance.info/recommendations
AGM,Financial Services,164.1300048828125,158.15747358523004,-3.6389027721328606,5.9,3.5947114022281013,-0.0441913699047593,226.66667,226.0,235.0,219.0,3.0,1.5,1970-01-01,yfinance.info/recommendations
AGO,Financial Services,87.45999908447266,136.7597831863497,56.368379393945766,0.99,1.1319460443211475,57.50032543826688,105.75,107.5,116.0,92.0,4.0,,1970-01-01,yfinance.info/recommendations
AHR,Real Estate,48.31999969482422,6.238090657969944,-87.09004408657285,1.0,2.0695364369116804,-84.53510584965002,49.81818,48.0,60.0,45.0,11.0,1.58333,1970-01-01,yfinance.info/recommendations
AHT,Real Estate,4.090000152587891,,,297.15415,7265.382369533161,,,,,,,3.0,1970-01-01,yfinance.info/recommendations
AI,Technology,14.06999969482422,-14.250577960415695,-201.28342764398138,,,,14.66667,15.0,24.0,8.0,12.0,,1970-01-01,yfinance.info/recommendations
AIG,Financial Services,77.75,20.995977980658783,-72.99552671297906,1.7,2.1864951768488745,-70.80903153613018,88.44444,89.0,97.0,79.0,18.0,2.35,1970-01-01,yfinance.info/recommendations
AII,Financial Services,24.959999084472656,16.588835199277717,-33.53831807791431,,,,25.75,26.0,27.0,24.0,4.0,2.0,1970-01-01,yfinance.info/recommendations
AIMD,Technology,2.2100000381469727,-15.995593504145813,-823.7824990065475,,,,,,,,,,,yfinance.info/recommendations
AIN,Consumer Cyclical,45.130001068115234,11.603374061792728,-74.28900113634029,1.08,2.3930865819611737,-71.89591455437912,53.5,52.5,64.0,45.0,4.0,3.25,1970-01-01,yfinance.info/recommendations
