symbol,date,period,eps,src
JPM,2025-03-31,2025Q1,5.07,yahoo_income
JPM,2024-12-31,2024Q4,4.81,yahoo_income
JPM,2024-09-30,2024Q3,4.37,yahoo_income
KGC,2025-09-30,2025Q3,0.48,yahoo_income
KGC,2025-06-30,2025Q2,0.43,yahoo_income
KGC,2025-03-31,2025Q1,0.3,yahoo_income
KGC,2024-09-30,2024Q3,0.29,yahoo_income
KGC,2024-06-30,2024Q2,0.17,yahoo_income
KMB,2025-09-30,2025Q3,1.34,yahoo_income
KMB,2025-06-30,2025Q2,1.53,yahoo_income
KMB,2025-03-31,2025Q1,1.7,yahoo_income
KMB,2024-12-31,2024Q4,1.34,yahoo_income
KMB,2024-09-30,2024Q3,2.69,yahoo_income
KO,2025-09-30,2025Q3,0.86,yahoo_income
KO,2025-06-30,2025Q2,0.88,yahoo_income
KO,2025-03-31,2025Q1,0.77,yahoo_income
KO,2024-12-31,2024Q4,0.51,yahoo_income
KO,2024-09-30,2024Q3,0.66,yahoo_income
LIN,2025-09-30,2025Q3,4.09,yahoo_income
LIN,2025-06-30,2025Q2,3.73,yahoo_income
LIN,2025-03-31,2025Q1,3.51,yahoo_income
LIN,2024-09-30,2024Q3,3.22,yahoo_income
LIN,2024-06-30,2024Q2,3.44,yahoo_income
LLY,2025-09-30,2025Q3,6.21,yahoo_income
LLY,2025-06-30,2025Q2,6.29,yahoo_income
LLY,2025-03-31,2025Q1,3.06,yahoo_income
LLY,2024-12-31,2024Q4,4.88,yahoo_income
LLY,2024-09-30,2024Q3,1.07,yahoo_income
LMT,2025-09-30,2025Q3,6.95,yahoo_income
LMT,2025-06-30,2025Q2,1.46,yahoo_income
LMT,2025-03-31,2025Q1,7.28,yahoo_income
LMT,2024-12-31,2024Q4,2.22,yahoo_income
LMT,2024-09-30,2024Q3,6.8,yahoo_income
LOW,2025-07-31,2025Q3,4.27,yahoo_income
LOW,2025-04-30,2025Q2,2.92,yahoo_income
LOW,2025-01-31,2025Q1,1.99,yahoo_income
LOW,2024-10-31,2024Q4,2.99,yahoo_income
LOW,2024-07-31,2024Q3,4.17,yahoo_income
MA,2025-09-30,2025Q3,4.34,yahoo_income
MA,2025-03-31,2025Q1,3.59,yahoo_income
MA,2024-12-31,2024Q4,3.64,yahoo_income
