symbol,period_1,period_2,period_3,period_4,period_5,period_6,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6
BRI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.02,0.05,0.09,-0.01,0.13,
BROCK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,-0.0,-0.0,-0.0,-0.0,
BRR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.3,-0.04,0.04,0.5,0.45,
BSBM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,-0.01,-0.01,-0.01,-0.03,
BSM,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,-0.03,-0.04,-0.08,,
BTC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,0.0,-0.02,-0.03,-0.02,
BTG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.53,0.6,1.34,0.98,0.51,
BTNC,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.1,-0.25,0.36,-0.74,,
BTS,2025Q4,2025Q3,2025Q2,2024Q4,2024Q3,,-0.06,0.01,-0.01,0.21,-0.03,
BTW,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.04,-0.03,-0.03,-0.04,,
BUI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.29,0.35,0.8,0.12,1.26,
BVG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.04,0.04,0.03,0.03,
BWG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,0.06,0.0,0.0,0.0,
BYD,2025Q3,2025Q2,2025Q1,2024Q3,,,0.03,-0.47,-0.05,0.02,,
CAZ,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.11,-1.33,0.09,0.13,0.03,
CBG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.61,0.62,0.8,0.76,0.74,
CCET,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,0.05,0.05,0.06,0.07,
CCP,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.01,0.01,0.01,,
CEN,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,-0.1,-0.09,-0.01,,
CENTEL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,1.59,0.12,0.08,0.55,0.12,
CEYE,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.03,0.03,-0.02,,
CFARM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.02,-0.01,0.0,-0.0,
CFRESH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.01,0.01,-0.02,-0.14,
CGD,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.02,-0.01,-0.01,-0.0,,
CGH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,-0.01,-0.03,0.0,0.03,
CH,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.02,0.02,0.02,0.0,,
CHAO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.03,0.01,0.04,0.18,
CHARAN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,2.26,0.48,-0.66,0.98,-0.29,
CHASE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.0,0.0,0.0,0.0,
CHAYO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.09,0.02,0.08,0.07,0.09,
CHEWA,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.03,-0.02,-0.04,0.0,,
CHG,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.02,0.02,0.04,
CHIC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.0,-0.01,-0.01,-0.02,
CHO,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.77,-0.36,-0.18,-0.55,,
CHOTI,2025Q3,2025Q2,2025Q1,2024Q3,,,-5.34,-5.28,-0.53,-9.89,,
CHOW,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.0,-0.01,0.0,0.01,,
CI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.0,-0.1,-0.07,-0.04,-0.07,
CIG,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,-0.01,-0.01,-0.01,,
CIMBT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.01,0.02,0.02,
CITY,2025Q4,2025Q2,2025Q1,2024Q4,,,-0.01,-0.03,-0.02,-0.02,,
CIVIL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,-0.16,0.02,0.01,0.06,
CK,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.2,1.03,0.51,0.17,0.59,
CKP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.16,0.08,0.01,0.15,
CM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.06,0.04,0.02,0.03,-0.02,
CMAN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.18,0.04,0.11,0.14,-0.1,
CMC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.05,-0.11,-0.1,-0.1,-0.04,
CMO,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.05,-0.03,0.08,0.01,,
CMR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.01,-0.02,0.01,0.01,0.02,
CNT,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,0.01,0.03,0.02,,
COCOCO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.06,0.05,0.05,0.04,0.12,
COLOR,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.01,0.02,0.01,,
