symbol,sector,model,intrinsic_value,last_price,w
IP,Healthcare,eps_dcf,0.3588381100469994,3.859999895095825,0.5150931379484303
IRC,Consumer Cyclical,eps_dcf,75.64424688634324,11.300000190734863,0.3937274233907813
IRCP,Technology,eps_dcf,8.201365681020321e-17,0.3400000035762787,0.5392162741363631
IROYAL,Industrials,eps_dcf,1.449427179570082,4.739999771118164,0.600803723339478
IRPC,Energy,eps_dcf,,1.1399999856948853,0.5567207650396745
ISSARA,Unknown,eps_dcf,5.63401409216435,6.349999904632568,0.7006426620119157
IT,Technology,eps_dcf,2.064983142154875,3.660000085830689,0.5392162741363631
ITC,Consumer Defensive,eps_dcf,53.42374936347992,16.899999618530273,0.4651378551621244
ITD,Industrials,eps_dcf,2.806736051920117,0.3300000131130218,0.600803723339478
ITEL,Communication Services,eps_dcf,3.3094358012775174,1.2400000095367432,0.5968830860786962
ITNS,Technology,eps_dcf,1.868885108256736,1.5800000429153442,0.5392162741363631
ITTHI,Consumer Cyclical,eps_dcf,0.4364345033999602,1.4500000476837158,0.3937274233907813
IVF,Healthcare,eps_dcf,0.2045015497190278,0.9399999976158142,0.5150931379484303
IVL,Basic Materials,eps_dcf,,21.0,0.5768668839251622
J,Real Estate,eps_dcf,0.6382483331035204,0.7200000286102295,0.5901935294473374
JAK,Real Estate,eps_dcf,0.1771165400034548,0.7799999713897705,0.5901935294473374
JAS,Communication Services,eps_dcf,1.7019955549427233,1.4500000476837158,0.5968830860786962
JCK,Real Estate,eps_dcf,,0.1400000005960464,0.5901935294473374
JCKH,Consumer Cyclical,eps_dcf,,0.25,0.3937274233907813
JCT,Consumer Defensive,eps_dcf,87.47332876209157,80.5,0.4651378551621244
JDF,Consumer Defensive,eps_dcf,2.959721931250834,1.440000057220459,0.4651378551621244
JMART,Consumer Cyclical,eps_dcf,27.42103949629942,8.100000381469727,0.3937274233907813
