symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
CPNREIT,12.0,12.3,12.5,10.5,5.0,,1970-01-01,20403.0,yfinance.info/recommendations
CPR,,,,,,,,,yfinance.info/recommendations
CPT,,,,,,,,,yfinance.info/recommendations
CPW,,,,,,,,,yfinance.info/recommendations
CRANE,,,,,,,,,yfinance.info/recommendations
CRC,23.3625,23.0,40.0,18.5,20.0,2.4,1970-01-01,20403.0,yfinance.info/recommendations
CRD,,,,,,,,,yfinance.info/recommendations
CREDIT,27.75,27.75,29.0,26.5,2.0,1.0,1970-01-01,20403.0,yfinance.info/recommendations
CSC,,,,,,,,,yfinance.info/recommendations
CSP,,,,,,,,,yfinance.info/recommendations
CSR,,,,,,,,,yfinance.info/recommendations
CSS,,,,,,,,,yfinance.info/recommendations
CTW,,,,,,,,,yfinance.info/recommendations
CV,,,,,,,,,yfinance.info/recommendations
CWT,,,,,,,,,yfinance.info/recommendations
D,4.0,4.0,4.0,4.0,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
DCC,1.64,1.64,1.85,1.43,2.0,2.0,1970-01-01,20403.0,yfinance.info/recommendations
DCON,,,,,,,,,yfinance.info/recommendations
DDD,,,,,,,,,yfinance.info/recommendations
DELTA,182.88235,196.0,275.0,63.0,17.0,3.25,1970-01-01,20403.0,yfinance.info/recommendations
DEMCO,,,,,,,,,yfinance.info/recommendations
DEXON,,,,,,,,,yfinance.info/recommendations
DHOUSE,,,,,,,,,yfinance.info/recommendations
DIMET,,,,,,,,,yfinance.info/recommendations
DITTO,,,,,,,,,yfinance.info/recommendations
DMT,,,,,,,,,yfinance.info/recommendations
DOD,,,,,,,,,yfinance.info/recommendations
DOHOME,4.74462,4.5,10.0,2.1,13.0,2.46154,1970-01-01,20403.0,yfinance.info/recommendations
DPAINT,,,,,,,,,yfinance.info/recommendations
DREIT,6.2,6.2,6.2,6.2,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
DRT,,,,,,,,,yfinance.info/recommendations
DTCENT,,,,,,,,,yfinance.info/recommendations
DTCI,,,,,,,,,yfinance.info/recommendations
DUSIT,,,,,,,,,yfinance.info/recommendations
DV8,,,,,,,,,yfinance.info/recommendations
EA,1.5,1.5,1.5,1.5,1.0,,,,yfinance.info/recommendations
EASON,,,,,,,,,yfinance.info/recommendations
EAST,,,,,,,,,yfinance.info/recommendations
EASTW,,,,,,,,,yfinance.info/recommendations
ECF,,,,,,,,,yfinance.info/recommendations
EFORL,,,,,,,,,yfinance.info/recommendations
EGCO,134.68182,132.0,176.0,106.5,11.0,1.81818,1970-01-01,20403.0,yfinance.info/recommendations
EKH,5.36667,5.7,6.1,4.3,3.0,,1970-01-01,20403.0,yfinance.info/recommendations
EMC,,,,,,,,,yfinance.info/recommendations
EMPIRE,,,,,,,,,yfinance.info/recommendations
EP,,,,,,,,,yfinance.info/recommendations
EPG,3.36667,3.3,4.3,2.5,3.0,2.0,1970-01-01,20403.0,yfinance.info/recommendations
ERW,3.34,3.2,5.6,2.7,15.0,1.4,1970-01-01,20403.0,yfinance.info/recommendations
ESTAR,,,,,,,,,yfinance.info/recommendations
ETC,,,,,,,,,yfinance.info/recommendations
ETE,,,,,,,,,yfinance.info/recommendations
ETL,0.48,0.48,0.48,0.48,1.0,,,,yfinance.info/recommendations
EURO,,,,,,,,,yfinance.info/recommendations
EVER,,,,,,,,,yfinance.info/recommendations
FANCY,,,,,,,,,yfinance.info/recommendations
FE,,,,,,,,,yfinance.info/recommendations
FLOYD,,,,,,,,,yfinance.info/recommendations
FM,5.1,5.1,5.1,5.1,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
FMT,,,,,,,,,yfinance.info/recommendations
FN,,,,,,,,,yfinance.info/recommendations
FNS,,,,,,,,,yfinance.info/recommendations
FORTH,10.9,10.9,10.9,10.9,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
FPI,,,,,,,,,yfinance.info/recommendations
FPT,,,,,,,,,yfinance.info/recommendations
FSMART,13.0,13.0,13.0,13.0,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
FSX,,,,,,,,,yfinance.info/recommendations
FTE,,,,,,,,,yfinance.info/recommendations
FTI,,,,,,,,,yfinance.info/recommendations
FTREIT,11.35,11.35,11.7,11.0,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
FUTURERT,,,,,,,,,yfinance.info/recommendations
